year,name,data
2019,DP05_0054E,78323
2018,DP05_0054E,104219
2017,DP05_0054E,85771
2016,DP05_0054E,2818186
2015,DP05_0054E,2654878
2014,DP05_0054E,2518746
2013,DP05_0054E,2408065
2012,DP05_0054E,2275588
2011,DP05_0054E,2174782
2010,DP05_0054E,2028521
2019,DP05_0055E,112845
2018,DP05_0055E,110606
2017,DP05_0055E,105076
2016,DP05_0055E,1926535
2015,DP05_0055E,1911158
2014,DP05_0055E,1881024
2013,DP05_0055E,1832055
2012,DP05_0055E,1799343
2011,DP05_0055E,1734245
2010,DP05_0055E,1705454
2019,DP05_0056E,238781
2018,DP05_0056E,224233
2017,DP05_0056E,225633
2016,DP05_0056E,2168592
2015,DP05_0056E,2038169
2014,DP05_0056E,1929461
2013,DP05_0056E,1840160
2012,DP05_0056E,1733309
2011,DP05_0056E,1652866
2010,DP05_0056E,1558860
2019,DP05_0057E,16352553
2018,DP05_0057E,16253785
2017,DP05_0057E,16552940
2016,DP05_0057E,333113
2015,DP05_0057E,305975
2014,DP05_0057E,312454
2013,DP05_0057E,318286
2012,DP05_0057E,316788
2011,DP05_0057E,302250
2010,DP05_0057E,289341
2019,DP05_0058E,11308895
2018,DP05_0058E,11280031
2017,DP05_0058E,10715465
2016,DP05_0058E,323127515
2015,DP05_0058E,321418821
2014,DP05_0058E,318857056
2013,DP05_0058E,316128839
2012,DP05_0058E,313914040
2011,DP05_0058E,311591919
2010,DP05_0058E,309349689
2019,DP05_0065E,46713850
2018,DP05_0065E,46261485
2017,DP05_0065E,45789188
2016,DP05_0065E,323127515
2015,DP05_0065E,321418821
2014,DP05_0065E,318857056
2013,DP05_0065E,316128839
2012,DP05_0065E,313914040
2011,DP05_0065E,311591919
2010,DP05_0065E,309349689
2019,DP05_0081E,565473
2018,DP05_0081E,559945
2017,DP05_0081E,546778
2016,DP05_0081E,135702775
2015,DP05_0081E,134793665
2014,DP05_0081E,133962970
2013,DP05_0081E,132808137
2012,DP05_0081E,132452249
2011,DP05_0081E,132316248
2010,DP05_0081E,131791065
2019,DP05_0082E,839270
2018,DP05_0082E,826107
2017,DP05_0082E,833898
